指令名称," 指令码"," 指令描述"," 指令参数长度",参数1,参数2,参数3,参数4
,"01",,,,,,
,"02",,,,,,
,"03",,,,,,
,"04",,,,,,
,"05",,,,,,
,"06",,,,,,
发送串口波特率,"07",,,,,,
发送电源极性,"08",,,,,,
发送用户配置,"09",,,,,,
发送电压设置值,"10",,,,,,
发送电流设置值,"11",,,,,,
发送灯丝限制值,"12",,,,,,
发送灯丝预热值,"13",,,,,,
获取电压设置值,"14",,,,,,
获取电流设置值,"15",,,,,,
获取灯丝限制值,"16",,,,,,
获取灯丝预热值,"17",,,,,,
,"18",,,,,,
获取电源模拟量,"19",,,,,,
,"20",,,,,,
,"21",,,,,,
,"22",,,,,,
,"23",,,,,,
,"24",,,,,,
,"25",,,,,,
,"26",,,,,,
,"27",,,,,,
,"28",,,,,,
,"29",,,,,,
,"30",,,,,,
,"31",,,,,,
,"32",,,,,,
,"33",,,,,,
,"34",,,,,,
,"35",,,,,,
,"36",,,,,,
,"37",,,,,,
,"38",,,,,,
,"39",,,,,,
,"40",,,,,,
,"41",,,,,,
,"42",,,,,,
,"43",,,,,,
,"44",,,,,,
,"45",,,,,,
,"46",,,,,,
,"47",,,,,,
,"48",,,,,,
,"49",,,,,,
,"50",,,,,,
,"51",,,,,,
,"52",,,,,,
,"53",,,,,,
,"54",,,,,,
,"55",,,,,,
,"56",,,,,,
,"57",,,,,,
,"58",,,,,,
,"59",,,,,,
,"60",,,,,,
,"61",,,,,,
,"62",,,,,,
,"63",,,,,,
,"64",,,,,,
,"65",,,,,,
,"66",,,,,,
,"67",,,,,,
,"68",,,,,,
,"69",,,,,,
,"70",,,,,,
,"71",,,,,,
,"72",,,,,,
,"73",,,,,,
,"74",,,,,,
,"75",,,,,,
,"76",,,,,,
,"77",,,,,,
,"78",,,,,,
,"79",,,,,,
,"80",,,,,,
,"81",,,,,,
,"82",,,,,,
,"83",,,,,,
,"84",,,,,,
,"85",,,,,,
,"86",,,,,,
,"87",,,,,,
,"88",,,,,,
,"89",,,,,,
,"90",,,,,,
,"91",,,,,,
,"92",,,,,,
,"93",,,,,,
,"94",,,,,,
,"95",,,,,,
,"96",,,,,,
,"97",,,,,,
,"98",,,,,,
,"99",,,,,,
